reference_riot_id,source_player_name,source_tag,matches_analyzed,current_rank_mode,match_rank_mode,avg_team_rank_mode,avg_team_rank_mean_value,avg_team_rank_nearest,avg_team_rank_group,wins,losses,draws,winrate,total_kills,total_deaths,total_assists,total_rounds,recent_kd,recent_kda,recent_acs,recent_tracker_score,recent_adr,recent_dda,recent_hs,recent_kast,recent_first_kills,recent_first_deaths,recent_entry_success,recent_entry_activity,recent_multi_kill_rate,acs_std,trs_std,main_agent,main_map
DiegoTownshend#6969,DiegoTownshend,6969,20,Diamond 2,Diamond 2,Diamond 1,14.8,Platinum 3,Platinum,11,9,0,55.0,381,297,94,417,1.283,1.599,256.0,672.3,161.93,35.15,32.6,69.95,63,38,62.38,24.22,53.24,59.54,200.99,Jett,Split
LPR FabianNCSY#SuTro,LPR FabianNCSY,SuTro,20,Diamond 3,Diamond 3,Diamond 1,15.3,Platinum 3,Platinum,12,7,1,60.0,260,324,144,443,0.802,1.247,182.2,472.7,120.88,-20.2,18.65,69.65,37,54,40.66,20.54,2.93,60.94,231.68,Reyna,Lotus
حياتي#0808,حياتي,0808,20,Immortal 3,Immortal 3,Diamond 2,15.3,Platinum 3,Platinum,16,4,0,80.0,264,251,137,396,1.052,1.598,176.7,606.0,100.36,51.5,38.3,59.45,23,21,52.27,11.11,548.99,71.75,201.9,Breach,Fracture
x19x#aaaa,x19x,aaaa,20,Diamond 3,Diamond 3,Platinum 3,15.45,Platinum 3,Platinum,10,10,0,50.0,302,331,118,432,0.912,1.269,205.0,511.2,129.62,0.35,33.5,64.4,46,61,42.99,24.77,45.37,39.36,201.22,Jett,Split
LPR NikoTelechea#srWea,LPR NikoTelechea,srWea,20,Diamond 3,Diamond 3,Diamond 1,15.55,Diamond 1,Diamond,5,14,1,25.0,326,336,66,457,0.97,1.167,197.75,510.3,119.72,7.79,32.95,61.95,52,47,52.53,21.66,110.72,52.36,208.07,Jett,Lotus
SALTILLENSE#1649,SALTILLENSE,1649,20,Diamond 3,Diamond 3,Diamond 1,15.55,Diamond 1,Diamond,10,8,2,50.0,370,291,99,415,1.271,1.612,261.35,669.15,172.58,36.95,18.95,71.7,85,70,54.84,37.35,8.92,85.18,280.1,Chamber,Breeze
Eu farei 10x#1891,Eu farei 10x,1891,20,Diamond 3,Diamond 3,Platinum 3,15.7,Diamond 1,Diamond,8,12,0,40.0,312,286,161,415,1.091,1.654,225.3,619.05,140.95,21.29,23.85,71.75,26,20,56.52,11.08,40.48,55.6,244.93,Sova,Split
Aang#AIRE,Aang,AIRE,20,Immortal 1,Immortal 1,Platinum 1,16.1,Diamond 1,Diamond,13,7,0,65.0,303,265,125,412,1.143,1.615,214.55,618.45,134.94,21.59,23.3,69.9,39,28,58.21,16.26,92.96,40.95,146.73,Sova,Ascent
Jay Jo#JOJI,Jay Jo,JOJI,20,Diamond 3,Diamond 3,Diamond 2,16.2,Diamond 1,Diamond,7,13,0,35.0,327,299,76,407,1.094,1.348,227.3,577.8,141.66,15.19,30.1,67.2,65,49,57.02,28.01,38.08,59.66,246.98,Chamber,Ascent
SashydeuS#666,SashydeuS,666,20,Diamond 2,Diamond 2,Diamond 2,16.35,Diamond 1,Diamond,12,8,0,60.0,321,333,156,417,0.964,1.432,230.25,593.85,148.34,11.0,23.85,70.5,40,28,58.82,16.31,117.27,62.78,192.79,Clove,Haven
